序号,阅读日期,论文题目,所属期刊,出版年份,作者,主要阅读部分（精/略）
1,"Dec 14, 2020",https://www.cn-ki.net/,Automation in Construction,2019,"Daniel Heigermoser, Borja García de Soto, Ernest Leslie Sidney Abbott,
David Kim Huat Chua",lean principles
2,"Dec 15, 2020",基于数据挖掘的住宅工程造价预测,土木工程与管理学报,2020,王德美， 陈 慧，肖之鸿,最小二乘法
3,"Dec 18, 2020","基于 ARIMA-SVM 模型的
深基坑变形预测及应用研究",第29届全国结构工程学术会议论文集,2020,刘胤池，李庶林，陈煌煜，唐 超，张建霖，黄玉仁,
4,"Dec 18, 2020",基于SVM模型的山区高速公路多车事故影响因素分析,武汉理工大学学报(交通科学与工程版),2020,李贵阳; 张福明; 王永岗,kFold交叉验证
5,"Dec 18, 2020",基于多层复杂网络的高速公路节点重要性研究,广西师范大学学报（自然科学版）,2020,翁小雄，谢志鹏,PageRank算法
6,"Dec 19, 2020",基于CBR的超高层建筑施工安全事故研究,土木工程与管理学报,2020,张兵，詹锐，关贤军，周红波,案例推理（Case-Based Reasoning）
7,"Dec 19, 2020",基于DAG-SVMS的SVM多类分类方法,统计与决策,2007,刘勇，全廷伟,改进的DAG-SVMS法
8,"Dec 22, 2020",基于SVM-RFE算法的道路交通事故严重程度分析,智能城市,2020,冷荣,
9,"Dec 22, 2020",基于灰色市场可追溯的 RFID 技术策略与窜货行为的博弈研究,中国管理科学,2020,"丁龙 ，胡斌 ，常珊 ，石纯来 ",RFID技术
10,"Dec 22, 2020",工业化建筑标准体系优化-以混凝土结构为例,土木工程与管理学报,2020,付光辉， 董 健， 潘欣维,云模型
11,"Dec 25, 2020",基于ISM的装配式建筑供应链韧性关键影响因素研究,土木工程与管理学报,2020,朱蕾;陈静怡;袁竞峰,供应链影响因素分析
12,"Dec 25, 2020",基于解释结构模型(ISM)的装配式建筑成本影响因素分析,工程管理学报,2019,周景阳; 何鹏旺,ism；建筑成本分析
13,"Dec 30, 2020","The quality traceability system for prefabricated buildings
using blockchain: An integrated framework",Frontiers of Engineering Management,2020,"Ziyao ZHANG, Zhenmin YUAN, Guodong NI, Han LIN, Yujie LU",区块链技术；装配式建筑
14,"Dec 31, 2020",冗余资源、创业拼凑与瞬时竞争优势,管理科学学报,2020,于晓宇;陈颖颖,冗余资源，瞬时竞争优势，超竞争；创业拼凑
15,"Dec 31, 2020 → Jan 1, 2021","Analyzing the Key Drivers of Contractors’ Temporary Competitive Advantage
in the Competition of International High-speed Rail Projects",Construction Management,,"Qianwen Zhou, Xiaopeng Deng, Ruoyu Jin, and Tengyuan Chang",hyper-competition(超竞争）;     temporary competitive advantage（瞬时竞争优势）；六个关键因素（经验挖掘因素最重要）
15,"Jan 1, 2021",基于复杂网络理论的装配式建筑供应链关键风险研究,建筑经济,2020,孙亚琪;田源,复杂网络理论；风险传递；装配式建筑供应链
16,"Jan 2, 2021",基于组合赋权云模型的装配式建筑成本风险评价,土木工程与管理学报,2020,荀志远;张丽敏;赵资源;徐瑛莲,云模型用于风险评价
17,"Jan 2, 2021",论正态云模型的普适性,中国工程科学,2004,李德毅；刘常昱,提出云模型
18,"Jan 3, 2021",基于案例推理和小波神经网络的住宅建筑概算造价预测研究,兰州理工大学_学位论文,2020,曾媛,案例推理；小波神经网络
19,"Jan 4, 2021",基于决策树模型重用的分布变化流数据学习,中国科学：信息科学,2020,赵鹏；周志华,集成学习
,,,,,,
,,,,,,
,,论文阅读_研一_01,,,,
